,weight,total_gross_income,pitax,table_row
1613,10.0,0.0,0.0,3
9828,10.0,0.0,0.0,3
9872,10.0,0.0,0.0,3
9882,10.0,0.0,0.0,3
9737,10.0,0.0,0.0,3
9884,10.0,0.0,0.0,3
1620,10.0,0.0,0.0,3
9911,10.0,0.0,0.0,3
9913,10.0,0.0,0.0,3
9919,10.0,0.0,0.0,3
9923,10.0,0.0,0.0,3
9924,10.0,0.0,0.0,3
9927,10.0,0.0,0.0,3
8069,10.0,0.0,0.0,3
8088,10.0,0.0,0.0,3
9720,10.0,0.0,0.0,3
9717,10.0,0.0,0.0,3
9687,10.0,0.0,0.0,3
9459,10.0,0.0,0.0,3
1571,10.0,0.0,0.0,3
9464,10.0,0.0,0.0,3
9467,10.0,0.0,0.0,3
1574,10.0,0.0,0.0,3
9480,10.0,0.0,0.0,3
8185,10.0,0.0,0.0,3
8176,10.0,0.0,0.0,3
9527,10.0,0.0,0.0,3
1580,10.0,0.0,0.0,3
9563,10.0,0.0,0.0,3
8161,10.0,0.0,0.0,3
8159,10.0,0.0,0.0,3
9617,10.0,0.0,0.0,3
9631,10.0,0.0,0.0,3
9647,10.0,0.0,0.0,3
9676,10.0,0.0,0.0,3
9684,10.0,0.0,0.0,3
8135,10.0,0.0,0.0,3
9445,10.0,0.0,0.0,3
2036,10.0,0.0,0.0,3
10893,10.0,0.0,0.0,3
1755,10.0,0.0,0.0,3
11886,10.0,0.0,0.0,3
7442,10.0,0.0,0.0,3
1933,10.0,0.0,0.0,3
11929,10.0,0.0,0.0,3
11932,10.0,0.0,0.0,3
11953,10.0,0.0,0.0,3
11956,10.0,0.0,0.0,3
11975,10.0,0.0,0.0,3
11877,10.0,0.0,0.0,3
11986,10.0,0.0,0.0,3
12052,10.0,0.0,0.0,3
12058,10.0,0.0,0.0,3
12079,10.0,0.0,0.0,3
12090,10.0,0.0,0.0,3
12104,10.0,0.0,0.0,3
12105,10.0,0.0,0.0,3
12125,10.0,0.0,0.0,3
12134,10.0,0.0,0.0,3
12032,10.0,0.0,0.0,3
12137,10.0,0.0,0.0,3
7456,10.0,0.0,0.0,3
7459,10.0,0.0,0.0,3
7512,10.0,0.0,0.0,3
11681,10.0,0.0,0.0,3
11685,10.0,0.0,0.0,3
11689,10.0,0.0,0.0,3
11723,10.0,0.0,0.0,3
11740,10.0,0.0,0.0,3
7492,10.0,0.0,0.0,3
11749,10.0,0.0,0.0,3
7458,10.0,0.0,0.0,3
11767,10.0,0.0,0.0,3
11776,10.0,0.0,0.0,3
11787,10.0,0.0,0.0,3
11789,10.0,0.0,0.0,3
11792,10.0,0.0,0.0,3
11816,10.0,0.0,0.0,3
11830,10.0,0.0,0.0,3
11853,10.0,0.0,0.0,3
11864,10.0,0.0,0.0,3
11771,10.0,0.0,0.0,3
12140,10.0,0.0,0.0,3
12149,10.0,0.0,0.0,3
12159,10.0,0.0,0.0,3
12367,10.0,0.0,0.0,3
12386,10.0,0.0,0.0,3
12390,10.0,0.0,0.0,3
12393,10.0,0.0,0.0,3
12394,10.0,0.0,0.0,3
12411,10.0,0.0,0.0,3
7285,10.0,0.0,0.0,3
12415,10.0,0.0,0.0,3
12362,10.0,0.0,0.0,3
2015,10.0,0.0,0.0,3
7276,10.0,0.0,0.0,3
12449,10.0,0.0,0.0,3
12460,10.0,0.0,0.0,3
7269,10.0,0.0,0.0,3
7267,10.0,0.0,0.0,3
12527,10.0,0.0,0.0,3
2028,10.0,0.0,0.0,3
12543,10.0,0.0,0.0,3
12442,10.0,0.0,0.0,3
7302,10.0,0.0,0.0,3
7303,10.0,0.0,0.0,3
1999,10.0,0.0,0.0,3
12193,10.0,0.0,0.0,3
12194,10.0,0.0,0.0,3
12199,10.0,0.0,0.0,3
12203,10.0,0.0,0.0,3
12221,10.0,0.0,0.0,3
12230,10.0,0.0,0.0,3
7347,10.0,0.0,0.0,3
12259,10.0,0.0,0.0,3
12261,10.0,0.0,0.0,3
12304,10.0,0.0,0.0,3
12308,10.0,0.0,0.0,3
12314,10.0,0.0,0.0,3
12315,10.0,0.0,0.0,3
12321,10.0,0.0,0.0,3
12322,10.0,0.0,0.0,3
7310,10.0,0.0,0.0,3
12352,10.0,0.0,0.0,3
12353,10.0,0.0,0.0,3
12357,10.0,0.0,0.0,3
11624,10.0,0.0,0.0,3
11601,10.0,0.0,0.0,3
7534,10.0,0.0,0.0,3
11595,10.0,0.0,0.0,3
1795,10.0,0.0,0.0,3
7725,10.0,0.0,0.0,3
11096,10.0,0.0,0.0,3
1799,10.0,0.0,0.0,3
11097,10.0,0.0,0.0,3
11103,10.0,0.0,0.0,3
7715,10.0,0.0,0.0,3
11132,10.0,0.0,0.0,3
11080,10.0,0.0,0.0,3
7706,10.0,0.0,0.0,3
11143,10.0,0.0,0.0,3
7700,10.0,0.0,0.0,3
11164,10.0,0.0,0.0,3
11167,10.0,0.0,0.0,3
11168,10.0,0.0,0.0,3
11190,10.0,0.0,0.0,3
11207,10.0,0.0,0.0,3
11209,10.0,0.0,0.0,3
11135,10.0,0.0,0.0,3
7728,10.0,0.0,0.0,3
11068,10.0,0.0,0.0,3
7738,10.0,0.0,0.0,3
7802,10.0,0.0,0.0,3
10930,10.0,0.0,0.0,3
7797,10.0,0.0,0.0,3
10958,10.0,0.0,0.0,3
7790,10.0,0.0,0.0,3
1765,10.0,0.0,0.0,3
10963,10.0,0.0,0.0,3
7783,10.0,0.0,0.0,3
10994,10.0,0.0,0.0,3
10996,10.0,0.0,0.0,3
7768,10.0,0.0,0.0,3
11015,10.0,0.0,0.0,3
23120,10.0,0.0,0.0,3
11035,10.0,0.0,0.0,3
